Azimuth/deg,Zenith/deg
107.88,47.5
109.2,45.139
104.45,51.92
105.46,49.773
106.63,47.525
108.01,45.161
103.09,51.948
104.15,49.8
105.37,47.551
106.81,45.185
101.74,51.974
102.84,49.827
104.12,47.578
105.61,45.211
100.38,51.999
101.53,49.853
102.86,47.605
104.41,45.239
99.03,52.022
100.23,49.878
101.6,47.633
103.21,45.269
97.677,52.044
98.918,49.904
100.34,47.662
102.01,45.301
96.324,52.063
97.61,49.928
99.086,47.691
100.81,45.334
94.973,52.082
96.303,49.952
97.827,47.72
99.6,45.37
93.622,52.098
94.997,49.976
96.568,47.751
98.394,45.407
92.272,52.113
93.69,49.999
95.308,47.782
97.185,45.446
90.924,52.127
92.384,50.021
94.048,47.814
95.976,45.488
89.576,52.139
91.078,50.043
92.788,47.846
94.764,45.531
88.229,52.149
89.773,50.064
91.526,47.879
93.551,45.575
86.883,52.158
88.468,50.085
90.264,47.912
92.336,45.622
85.539,52.165
87.163,50.105
89.002,47.946
91.119,45.67
84.195,52.171
85.858,50.125
87.739,47.981
89.9,45.72
82.853,52.175
84.554,50.145
86.475,48.016
88.68,45.772
81.512,52.178
83.251,50.163
85.211,48.052
87.457,45.826
80.172,52.179
81.947,50.182
83.946,48.088
86.233,45.882
78.833,52.178
80.644,50.199
82.681,48.125
85.006,45.939
77.496,52.177
79.342,50.217
81.415,48.162
83.778,45.998
76.159,52.173
78.04,50.233
80.148,48.2
82.547,46.058
